	02/07/2023	02/01/2023	01/31/2023	01/24/2023	01/10/2023	01/04/2023	01/01/2023	12/31/2022	12/13/2022	12/01/2022	11/30/2022	11/22/2022	11/15/2022	11/01/2022	10/18/2022	10/11/2022	10/01/2022	09/30/2022	09/19/2022	09/01/2022	08/31/2022	08/30/2022	08/16/2022	08/09/2022	08/01/2022	07/31/2022	07/19/2022	07/12/2022	07/01/2022	06/30/2022	06/28/2022	06/27/2022	06/21/2022	06/07/2022	06/01/2022	05/31/2022	05/24/2022	05/17/2022	05/01/2022	04/30/2022	04/26/2022	04/05/2022	04/01/2022	03/31/2022	03/29/2022	03/15/2022	03/01/2022	02/28/2022	02/22/2022	02/01/2022	01/31/2022	01/11/2022	01/04/2022	01/01/2022	12/31/2021	12/22/2021	12/07/2021	12/01/2021	11/30/2021	11/11/2021	11/09/2021	11/01/2021	10/31/2021	10/19/2021	10/12/2021	10/01/2021	09/30/2021	09/28/2021	09/14/2021	09/08/2021	09/01/2021	08/31/2021	08/17/2021	08/01/2021	07/31/2021	07/27/2021	07/20/2021	07/06/2021	07/01/2021	06/30/2021	06/22/2021	06/01/2021	05/31/2021	05/25/2021	05/04/2021	05/01/2021	04/30/2021	04/27/2021	04/13/2021	04/01/2021	03/31/2021	03/30/2021	03/26/2021	03/23/2021	03/02/2021	03/01/2021	02/28/2021	02/09/2021	02/02/2021	02/01/2021	01/31/2021	01/19/2021	01/05/2021	01/01/2021	12/31/2020	12/08/2020	12/01/2020	11/30/2020	11/17/2020	11/10/2020	11/01/2020	10/31/2020	10/27/2020	10/13/2020	10/06/2020	10/01/2020	09/30/2020	09/08/2020	09/01/2020	08/31/2020	08/25/2020	08/18/2020	08/04/2020	08/01/2020	07/31/2020	07/29/2020	07/21/2020	07/14/2020	07/01/2020	06/30/2020	06/23/2020	06/09/2020	06/01/2020	05/31/2020	05/26/2020	05/18/2020	05/12/2020	05/01/2020	04/30/2020	04/28/2020	04/21/2020	04/01/2020	03/31/2020	03/23/2020	03/10/2020	03/03/2020	03/01/2020	02/29/2020	02/25/2020	02/18/2020	02/04/2020	02/01/2020	01/31/2020	01/21/2020	01/07/2020	01/01/2020	12/31/2019	12/17/2019	12/03/2019	12/01/2019	11/30/2019	11/20/2019	11/12/2019	11/01/2019	10/29/2019	10/23/2019	10/02/2019	10/01/2019	08/21/2019
CH_43_NODE_2	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM																																																																																																																												
CH_43_NODE_3	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK																																																																																																																												
CH_43_NODE_4	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO	SHEGO																																																																																																																												
CH_43_NODE_5	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI																																																																																																																												
CH_43_NODE_6	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON																																																																																																																												
CH_43_NODE_7	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	SISU	RAYA	RAYA	RAYA																																																																																																																												
CH_44_NODE_1	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	BALOO	EEYORE	EEYORE	EEYORE	EEYORE	EEYORE																																																																																																																																
CH_44_NODE_2	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	RON_STOPPABLE	ROCKETEER																																																																																																																																
CH_44_NODE_3	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	CARL	CARL	CARL	CARL	CARL																																																																																																																																
CH_44_NODE_4	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA																																																																																																																																
CH_44_NODE_5	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA																																																																																																																																
CH_44_NODE_6	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	PETE	SISU	SISU	SISU	SISU	SISU	SISU	SISU																																																																																																																																
CH_44_NODE_7	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA	ANNA																																																																																																																																
CH_45_NODE_1	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY																																																																																																																																				
CH_45_NODE_2	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	JOHN_SILVER	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	WASABI	WASABI	WASABI	WASABI	WASABI	WASABI	WASABI	WASABI	WASABI	WASABI	WASABI																																																																																																																																				
CH_45_NODE_3	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG																																																																																																																																				
CH_45_NODE_4	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	SARAH_SANDERSON	SARAH_SANDERSON	SARAH_SANDERSON	SARAH_SANDERSON	SARAH_SANDERSON	SARAH_SANDERSON	SARAH_SANDERSON	SARAH_SANDERSON	SARAH_SANDERSON	IAN_LIGHTFOOT	IAN_LIGHTFOOT	IAN_LIGHTFOOT	IAN_LIGHTFOOT	IAN_LIGHTFOOT	IAN_LIGHTFOOT	IAN_LIGHTFOOT																																																																																																																																				
CH_45_NODE_5	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	MAXIMUS																																																																																																																																				
CH_45_NODE_6	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL	ANGEL																																																																																																																																				
CH_45_NODE_7	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	CLAWHAUSER	CLAWHAUSER	CLAWHAUSER	CLAWHAUSER	CLAWHAUSER	CLAWHAUSER																																																																																																																																				
CH_46_NODE_1	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO	GO_GO																																																																																																																																								
CH_46_NODE_2	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	ANNA	ANNA																																																																																																																																								
CH_46_NODE_3	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	THE_UNDERMINER	SISU	SISU																																																																																																																																								
CH_46_NODE_4	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN	RUSSELL_AND_KEVIN																																																																																																																																								
CH_46_NODE_5	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT	KERMIT																																																																																																																																								
CH_46_NODE_6	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM																																																																																																																																								
CH_46_NODE_7	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	KIDA	FEAR	FEAR	FEAR																																																																																																																																								
CH_47_NODE_1	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN																																																																																																																																														
CH_47_NODE_2	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES	HADES																																																																																																																																														
CH_47_NODE_3	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI																																																																																																																																														
CH_47_NODE_4	JIM_HAWKINS	JIM_HAWKINS	JIM_HAWKINS	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	MULAN																																																																																																																																														
CH_47_NODE_5	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI																																																																																																																																														
CH_47_NODE_6	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF	SWEDISH_CHEF																																																																																																																																														
CH_47_NODE_7	JIM_HAWKINS	JIM_HAWKINS	JIM_HAWKINS	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	IAN_LIGHTFOOT																																																																																																																																														
CH_48_NODE_1	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK																																																																																																																																																		
CH_48_NODE_2	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY																																																																																																																																																		
CH_48_NODE_3	TIGGER	TIGGER	TIGGER	FLIK	FLIK	FLIK	FLIK	FLIK	FLIK	FLIK	FLIK	FLIK	FLIK	FLIK	TIGGER	TIGGER	TIGGER	TIGGER	TIGGER	TIGGER	TIGGER	TIGGER	TIGGER																																																																																																																																																		
CH_48_NODE_4	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER																																																																																																																																																		
CH_48_NODE_5	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH	STITCH																																																																																																																																																		
CH_48_NODE_6	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS	MAXIMUS																																																																																																																																																		
CH_48_NODE_7	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	CHIP_AND_DALE	MARY_SANDERSON	MARY_SANDERSON																																																																																																																																																		
CH_49_NODE_1	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK																																																																																																																																																						
CH_49_NODE_2	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	THE_HORNED_KING	THE_HORNED_KING	THE_HORNED_KING	THE_HORNED_KING	THE_HORNED_KING	THE_HORNED_KING	THE_HORNED_KING	THE_HORNED_KING	JAFAR	JAFAR	JAFAR																																																																																																																																																						
CH_49_NODE_3	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	RANDALL_BOGGS	HOPPER																																																																																																																																																						
